timestamp,link,Lookup_ID,Version,Content Category: Gift Announcement,Interest Area: Giving Blueday,Interest Area: Student Support,Interest Area: History,Interest Area: Diversity Equity and Inclusion,Interest Area: Poverty,Interest Area: Sustainability,Interest Area: Environment,Interest Area: City of Detroit,Interest Area: Health and Wellness,Interest Area: Public Good,Interest Area: Facilities,Interest Area: Arts,Interest Area: Education,Interest Area: Science,Interest Area: Military and Veterans,Interest Area: International,Interest Area: Aging,S/C/U: Gerald R. Ford School of Public Policy,S/C/U: Rackham Graduate School,S/C/U: Bentley Historical Library,S/C/U: Student Life,"S/C/U: College of Literature, Science, and the Arts",S/C/U: Student Publications,S/C/U: Institute for Social Research,S/C/U: Stephen M. Ross School of Business,S/C/U: School for Environment and Sustainability,S/C/U: Michigan Medicine,S/C/U: School of Dentistry,S/C/U: University of Michigan Museum of Art,S/C/U: School of Education,S/C/U: Athletics,S/C/U: Detroit Observatory
1/31/2022 8:36,Learn about the Warren bequest,2766701,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
1/31/2022 12:09,Learn about the Warren bequest,2766784,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
5/12/2022 8:22,Experience the observatory,2767569,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 9:47,Read about the Bentley gift,2767788,Major Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
1/31/2022 9:45,Learn about the Weill gift,2767788,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
2/12/2022 19:54,Read about the Bentley gift,2768321,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
3/25/2022 8:43,Read about the impact,2768847,Annual Giving,,Giving Blueday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2022 9:19,Experience the observatory,2771871,Major Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 9:19,Experience the observatory,2771871,Major Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 9:19,Experience the observatory,2771871,Major Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 13:09,Learn about the Weill gift,2772681,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 10:22,Learn about the Weill gift,2772814,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 20:37,Meet the graduates,2772981,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2022 14:02,Read about the program,2773031,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 10:39,Learn about the Warren bequest,2773171,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
5/12/2022 14:38,Experience the observatory,2773545,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
