timestamp,link,Lookup_ID,Version,Content Category: Gift Announcement,Interest Area: Giving Blueday,Interest Area: Student Support,Interest Area: History,Interest Area: Diversity Equity and Inclusion,Interest Area: Poverty,Interest Area: Sustainability,Interest Area: Environment,Interest Area: City of Detroit,Interest Area: Health and Wellness,Interest Area: Public Good,Interest Area: Facilities,Interest Area: Arts,Interest Area: Education,Interest Area: Science,Interest Area: Military and Veterans,Interest Area: International,Interest Area: Aging,S/C/U: Gerald R. Ford School of Public Policy,S/C/U: Rackham Graduate School,S/C/U: Bentley Historical Library,S/C/U: Student Life,"S/C/U: College of Literature, Science, and the Arts",S/C/U: Student Publications,S/C/U: Institute for Social Research,S/C/U: Stephen M. Ross School of Business,S/C/U: School for Environment and Sustainability,S/C/U: Michigan Medicine,S/C/U: School of Dentistry,S/C/U: University of Michigan Museum of Art,S/C/U: School of Education,S/C/U: Athletics,S/C/U: Detroit Observatory
5/12/2022 14:02,Meet the graduates,8009074,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/2022 8:18,Learn about U-M’s Ginsberg Center,8009090,Major Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
5/12/2022 8:40,Experience the observatory,8009392,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 9:23,Experience the observatory,8009455,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 9:23,Experience the observatory,8009455,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 9:23,womens-basketball-harris-family,8009455,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
1/31/2022 8:25,Read about the program,8009726,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 8:34,Read about the Bentley gift,8009726,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
5/12/2022 8:33,Meet Audrey,8009904,Annual Giving,,,Student Support,,,,,,,,,,,,,,International,,,,,,,,,,,,,,,,
5/12/2022 8:39,Experience the observatory,8009965,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 8:24,Experience the observatory,8010204,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 8:10,Learn about the Warren bequest,8011417,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
1/31/2022 8:23,Learn about the Weiser gift,8013670,Major Giving,Gift Announcement,,,,,,,,,Heath and Wellness,,,,,,,,,,,,,,,,,,Michigan Medicine,,,,,
1/31/2022 9:55,Learn about the Warren bequest,8014567,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
3/25/2022 20:55,Meet Sarah,8014573,Major Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,School of Dentistry,,,,
5/12/2022 15:40,Experience the observatory,8014775,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 8:14,Read about the Bentley gift,8014825,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
5/12/2022 12:50,womens-basketball-harris-family,8015024,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
3/25/2022 8:37,Read about the Culture Corps,8015128,Major Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
3/26/2022 14:39,Read about the Culture Corps,8015149,Major Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
3/25/2022 10:52,Learn about U-M’s Ginsberg Center,8015446,Major Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
5/12/2022 9:56,Experience the observatory,8015449,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 9:26,Meet Dyanna,8015513,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,Student Life,,,,,,,,,,,
1/31/2022 8:12,Read about the Bentley gift,8016272,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
1/31/2022 9:37,Learn about the Weill gift,8017066,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 8:10,Experience the observatory,8017409,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 9:00,Learn about the Warren bequest,8018071,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
5/12/2022 22:46,Meet the graduates,8018444,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/2022 9:30,Learn about U-M’s Ginsberg Center,8019388,Annual Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
3/25/2022 9:29,Learn about U-M’s Ginsberg Center,8019388,Annual Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
3/25/2022 9:29,Learn about U-M’s Ginsberg Center,8019388,Annual Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
5/12/2022 8:20,womens-basketball-harris-family,8019443,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
3/25/2022 8:15,Learn about U-M’s Ginsberg Center,8019443,Annual Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
5/12/2022 8:20,Learn more about the program,8019443,Annual Giving,,,Student Support,,,,,,,,,,,,,Military and Veterans,,,,,,,,,,,,,,,,,
5/12/2022 8:20,Meet the graduates,8019443,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/2022 8:15,Read about the impact,8019443,Annual Giving,,Giving Blueday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/2022 8:15,Watch the video,8019443,Annual Giving,,Giving Blueday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2022 10:02,Experience the observatory,8019625,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 9:36,Learn about the Ross School gifts,8024145,Major Giving,Gift Announcement,,Student Support,,Diversity Equity and Inclusion,Poverty,Sustainability,,,,,,,,,,,,,,,,,,,Stephen M. Ross School of Business,,,,,,,
5/12/2022 9:05,womens-basketball-harris-family,8032702,Major Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 8:43,womens-basketball-harris-family,8033141,Major Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
3/25/2022 8:18,Meet Sarah,8033331,Major Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,School of Dentistry,,,,
3/25/2022 8:18,Meet Sarah,8033331,Major Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,School of Dentistry,,,,
3/25/2022 8:18,Meet Sarah,8033331,Major Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,School of Dentistry,,,,
1/31/2022 8:13,Read about the program,8033331,Major Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 8:11,Read about the program,8033331,Major Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 8:11,Read about the program,8033331,Major Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
5/12/2022 9:09,womens-basketball-harris-family,8034129,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
3/25/2022 9:54,Read about the Culture Corps,8034654,Major Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
3/25/2022 8:54,Read about the Culture Corps,8034801,Major Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
3/25/2022 10:26,Read about the institute,8034896,Major Giving,Gift Announcement,,,,,,,,,Heath and Wellness,,,,,,,,,,,,,,,,,,Michigan Medicine,,,,,
1/31/2022 8:09,Learn about the Weiser gift,8035229,Major Giving,Gift Announcement,,,,,,,,,Heath and Wellness,,,,,,,,,,,,,,,,,,Michigan Medicine,,,,,
1/31/2022 22:03,Learn about the Weill gift,8035523,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
2/1/2022 8:35,Read about the program,8035631,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 15:55,Learn about the Weill gift,8035734,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 9:26,Learn more about the program,8036403,Annual Giving,,,Student Support,,,,,,,,,,,,,Military and Veterans,,,,,,,,,,,,,,,,,
1/31/2022 14:28,Read about the Bentley gift,8036683,Major Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
1/31/2022 11:31,Read about the Bentley gift,8036831,Major Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
1/31/2022 11:31,Learn about the Weill gift,8036831,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 12:44,Learn about the Weill gift,8041511,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 12:24,Learn about the Warren bequest,8041530,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
5/12/2022 8:27,Experience the observatory,8041855,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 9:44,Experience the observatory,8044326,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 8:52,Learn about the Warren bequest,8044326,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
5/12/2022 12:52,womens-basketball-harris-family,8044716,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 12:45,womens-basketball-harris-family,8044716,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
2/1/2022 22:38,Learn about the Weill gift,8044716,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
3/28/2022 3:43,Learn about U-M’s Ginsberg Center,8044719,Annual Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
3/28/2022 3:49,Read about the Culture Corps,8044719,Annual Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
1/31/2022 9:52,Read about the Bentley gift,8045759,Major Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
1/31/2022 13:18,Learn about the Weill gift,8046147,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 8:15,Experience the observatory,8047004,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 23:55,Read about the program,8047721,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
3/25/2022 8:41,Read about the Culture Corps,8048397,Major Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
1/31/2022 8:28,Learn about the Stone Center,8049366,Major Giving,Gift Announcement,,,,,Poverty,,,,,,,,,,,,,,,,,,,Institute for Social Research,,,,,,,,
5/12/2022 9:03,Experience the observatory,8049841,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
3/27/2022 1:32,Read about the Culture Corps,8049993,Annual Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
1/31/2022 11:22,Read about the program,8050654,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 11:22,Meet Dyanna,8050654,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,Student Life,,,,,,,,,,,
1/31/2022 11:16,Learn about the Weill gift,8050654,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 9:33,Learn about the Weill gift,8051063,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 9:53,Learn about the Warren bequest,8051189,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
5/12/2022 17:06,womens-basketball-harris-family,8051298,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 17:08,Meet the graduates,8051298,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2022 13:09,Learn more about the program,8051327,Annual Giving,,,Student Support,,,,,,,,,,,,,Military and Veterans,,,,,,,,,,,,,,,,,
1/31/2022 12:13,Read about the program,8051333,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 8:18,Read about the Bentley gift,8051384,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
3/25/2022 8:28,Read about the Culture Corps,8052210,Annual Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
3/25/2022 8:13,Learn about U-M’s Ginsberg Center,8052332,Major Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
1/31/2022 8:56,Learn about the Warren bequest,8052459,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
5/12/2022 9:52,Experience the observatory,8053199,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 16:51,Read about the Bentley gift,8056094,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
1/31/2022 8:56,Meet Dyanna,8058948,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,Student Life,,,,,,,,,,,
3/25/2022 9:19,Learn about U-M’s Ginsberg Center,8059385,Annual Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
3/26/2022 13:46,Learn about U-M’s Ginsberg Center,8060137,Major Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
3/25/2022 8:30,Read about the Culture Corps,8060604,Major Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
5/12/2022 9:46,Experience the observatory,8060717,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 9:45,Experience the observatory,8060717,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 9:45,Experience the observatory,8060717,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 9:45,Experience the observatory,8060717,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 9:45,Experience the observatory,8060717,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 9:25,Experience the observatory,8060717,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 17:51,Learn about the Warren bequest,8060743,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
5/12/2022 8:27,womens-basketball-harris-family,8060768,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 8:17,Learn more about the program,8061482,Annual Giving,,,Student Support,,,,,,,,,,,,,Military and Veterans,,,,,,,,,,,,,,,,,
5/12/2022 8:39,Experience the observatory,8061592,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 13:28,Experience the observatory,8062263,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
3/25/2022 8:10,Read about the impact,8062464,Annual Giving,,Giving Blueday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2022 10:29,Experience the observatory,8062694,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 14:59,Learn about the Weill gift,8062868,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 11:06,Read about the program,8063016,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 22:22,Learn about the Weill gift,8063229,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
3/25/2022 8:50,Learn about U-M’s Ginsberg Center,8063238,Major Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
3/25/2022 10:24,Read about the Culture Corps,8063405,Annual Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
5/12/2022 8:44,Experience the observatory,8063459,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 10:40,Experience the observatory,8063542,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 8:24,Learn about the Weill gift,8063854,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 8:17,Read about the Bentley gift,8063877,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
1/31/2022 22:12,Read about the program,8063890,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
3/28/2022 18:22,Learn more about CAI’s global reach,8063936,Major Giving,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,,,,,
1/31/2022 8:20,Learn about the Weiser gift,8064246,Major Giving,Gift Announcement,,,,,,,,,Heath and Wellness,,,,,,,,,,,,,,,,,,Michigan Medicine,,,,,
1/31/2022 9:30,Learn about the Weill gift,8064528,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 8:02,Meet Dyanna,8065198,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,Student Life,,,,,,,,,,,
3/28/2022 2:50,Learn about the collection,8067533,Annual Giving,Gift Announcement,,,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,University of Michigan Museum of Art,,,
2/1/2022 2:52,Learn about the Warren bequest,8067533,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
2/1/2022 2:52,Read about the program,8067533,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
2/1/2022 2:52,Meet Dyanna,8067533,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,Student Life,,,,,,,,,,,
3/28/2022 2:50,Learn more about CAI’s global reach,8067533,Annual Giving,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,,,,,
5/12/2022 15:33,Experience the observatory,8069734,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 9:30,Learn about the Warren bequest,8070405,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
5/13/2022 0:33,womens-basketball-harris-family,8070710,Major Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
1/31/2022 9:49,Learn about the Ross School gifts,8070710,Major Giving,Gift Announcement,,Student Support,,Diversity Equity and Inclusion,Poverty,Sustainability,,,,,,,,,,,,,,,,,,,Stephen M. Ross School of Business,,,,,,,
3/26/2022 22:14,Read about the Culture Corps,8070710,Major Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
1/31/2022 10:14,Learn about the Weill gift,8070812,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
2/2/2022 12:39,Read about the Bentley gift,8070970,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
5/12/2022 9:12,womens-basketball-harris-family,8071849,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
1/31/2022 10:40,Learn about the Weill gift,8071992,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
3/25/2022 19:44,Learn about the center,8072090,Major Giving,Gift Announcement,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,,,School of Education,,
3/25/2022 19:42,Read about the impact,8072090,Major Giving,,Giving Blueday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2022 18:06,Learn about the Weill gift,8074083,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
3/25/2022 8:50,Meet Sarah,8075057,Major Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,School of Dentistry,,,,
3/25/2022 8:35,Learn about U-M’s Ginsberg Center,8075057,Major Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
2/1/2022 7:52,Learn about the Warren bequest,8075110,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
1/31/2022 11:58,Learn about the Warren bequest,8075110,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
1/31/2022 9:46,Learn about the Weiser gift,8075243,Major Giving,Gift Announcement,,,,,,,,,Heath and Wellness,,,,,,,,,,,,,,,,,,Michigan Medicine,,,,,
5/13/2022 1:04,womens-basketball-harris-family,8075299,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
1/31/2022 18:29,Read about the Bentley gift,8075299,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
3/25/2022 9:15,Learn about U-M’s Ginsberg Center,8075482,Major Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
1/31/2022 14:31,Read about the Bentley gift,8075482,Major Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
1/31/2022 9:18,Learn about the Weill gift,8075846,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 8:10,Learn about the Warren bequest,8076081,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
1/31/2022 8:13,Read about the program,8076081,Major Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 16:00,Read about the program,8076457,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 9:48,Learn about the Weill gift,8076542,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
3/25/2022 8:38,Read about the Culture Corps,8077164,Annual Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
3/25/2022 8:34,Read about the Culture Corps,8077164,Annual Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
1/31/2022 13:39,Read about the program,8077165,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 13:38,Meet Dyanna,8077165,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,Student Life,,,,,,,,,,,
5/12/2022 10:38,Experience the observatory,8077168,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 10:29,Experience the observatory,8077188,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 11:20,Experience the observatory,8077263,Major Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 11:19,Experience the observatory,8077263,Major Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 11:19,Experience the observatory,8077263,Major Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
3/26/2022 11:22,Meet Sarah,8077275,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,School of Dentistry,,,,
